Ponto de amostragem,X,Y,Descrição ponto,Latitude,Longitude
CLA-01,476460,7965023,Rio Claro a montante do remanso do reservatório da UHE Caçu.,-18.40471469720768,-51.22287716980235
CLA-02,480088,7956850,"Rio Claro no reservatório da UHE Caçu, entre o início do remanso e a barragem da UHE Caçu.",-18.478620867606217,-51.188607926708855
CLA-03,483966,7951366,"Rio Claro no reservatório da UHE Caçu, imediatamente a montante da barragem da UHE Caçu.",-18.528218997966466,-51.15191904306638
CLA-04,486568,7948331,"Rio Claro, a jusante do barramento da UHE Caçu, próximo à captação de água da cidade de Caçu-GO.",-18.55566785630973,-51.12728596127088
CLA-05,486574,7948319,"Córrego Água Fria, afluente da margem direita do rio Claro, principal curso hídrico que passa pela cidade de Caçu-GO.",-18.555776351750982,-51.12722918379712
CLA-06,488596,7946764,"Rio Claro a jusante do barramento da UHE Caçu e da cidade de Caçu e a montante da ETE Caçu, próximo ao início do remanso da UHE Barra dos Coqueiros.",-18.569842526616718,-51.10807692400981
CLA-06B,489034,7945650,"Rio Claro, cerca de 200m a jusante do lançamento da ETE Caçu (ponto CLA-06).",-18.57991328213579,-51.10393205682529
CLA-07,494496,7938485,"Rio Claro no reservatório da UHE Barra dos Coqueiros, entre o início do remanso e a barragem da UHE Barra dos Coqueiros.",-18.64469238815568,-51.05218482324302
CLA-08CS,492873,7936975,"Rio Claro, no reservatório da UHE Barra dos Coqueiros, a montante da barragem da UHE Barra dos Coqueiros, no braço formado com o córrego Sucuri.",-18.658334892800493,-51.06757829218299
CLA-08,499074,7931618,"Rio Claro no reservatório da UHE Barra dos Coqueiros, imediatamente a montante da barragem da UHE Barra dos Coqueiros.",-18.706763370925028,-51.008782838537705
CLA-09,499793,7928801,"Rio Claro a jusante do reservatório da UHE Barra dos Coqueiros, próximo à ponte de concreto que liga os municípios de Caçu e Cachoeira Alta.",-18.732223493732345,-51.0019636282013
ETE-01,488321,7946979,Área do rio Claro próximo ao ponto de lançamento de efluentes tratados pela ETE Caçu.,-18.567897827162238,-51.110681871352824
